ar,ar_smoothed,eps,index
0.242038,0.202013,0.405277,156
0.240506,0.197973,0.405957,157
0.238994,0.194014,0.406502,158
0.2375,0.190133,0.406917,159
0.236025,0.186331,0.407205,160
0.234568,0.182604,0.407371,161
0.233129,0.178952,0.407417,162
0.231707,0.175373,0.407347,163
0.230303,0.171866,0.407165,164
0.228916,0.168428,0.406876,165
0.227545,0.16506,0.406482,166
0.22619,0.161758,0.405988,167
0.224852,0.158523,0.405396,168
0.223529,0.155353,0.404711,169
0.222222,0.152246,0.403937,170
0.22093,0.149201,0.403076,171
0.219653,0.146217,0.402133,172
0.218391,0.143293,0.40111,173
0.217143,0.140427,0.400011,174
0.215909,0.137618,0.398839,175
0.214689,0.134866,0.397598,176
0.213483,0.132168,0.396291,177
0.212291,0.129525,0.394921,178
0.211111,0.126935,0.393491,179
0.209945,0.124396,0.392003,180
0.208791,0.121908,0.390462,181
0.20765,0.11947,0.388869,182
0.206522,0.11708,0.387227,183
0.205405,0.114739,0.38554,184
0.204301,0.112444,0.383809,185
0.203209,0.110195,0.382037,186
0.202128,0.107991,0.380227,187
0.206349,0.125831,0.378381,188
0.210526,0.143315,0.376803,189
0.209424,0.140449,0.375482,190
0.208333,0.13764,0.374118,191
0.207254,0.134887,0.372712,192
0.206186,0.132189,0.371267,193
0.205128,0.129545,0.369786,194
0.204082,0.126954,0.36827,195
0.208122,0.144415,0.366721,196
0.207071,0.141527,0.365399,197
0.20603,0.138696,0.364043,198
0.205,0.135922,0.362654,199
0.20398,0.133204,0.361233,200
0.20297,0.13054,0.359783,201
0.20197,0.127929,0.358306,202
0.20098,0.125371,0.356802,203
0.2,0.122863,0.355274,204
0.199029,0.120406,0.353722,205
0.202899,0.137998,0.35215,206
0.201923,0.135238,0.350771,207
0.200957,0.132533,0.349369,208
0.2,0.129882,0.347944,209
0.199052,0.127285,0.346499,210
0.198113,0.124739,0.345035,211
0.197183,0.122244,0.343553,212
0.196262,0.119799,0.342054,213
0.195349,0.117403,0.34054,214
0.194444,0.115055,0.339011,215
0.193548,0.112754,0.33747,216
0.192661,0.110499,0.335916,217
0.191781,0.108289,0.334351,218
0.190909,0.106123,0.332777,219
0.19457,0.124001,0.331193,220
0.193694,0.121521,0.329765,221
0.192825,0.11909,0.328327,222
0.191964,0.116709,0.326878,223
0.191111,0.114374,0.32542,224
0.190265,0.112087,0.323954,225
0.189427,0.109845,0.322481,226
0.188596,0.107648,0.321002,227
0.187773,0.105495,0.319516,228
0.186957,0.103385,0.318026,229
0.186147,0.101318,0.316532,230
0.185345,0.0992914,0.315035,231
0.184549,0.0973056,0.313534,232
0.183761,0.0953595,0.312032,233
0.182979,0.0934523,0.310528,234
0.182203,0.0915832,0.309023,235
0.181435,0.0897516,0.307519,236
0.180672,0.0879565,0.306014,237
0.179916,0.0861974,0.30451,238
0.179167,0.0844735,0.303008,239
0.178423,0.082784,0.301507,240
0.177686,0.0811283,0.300009,241
0.176955,0.0795057,0.298514,242
0.180328,0.0979156,0.297022,243
0.179592,0.0959573,0.295639,244
0.178862,0.0940382,0.294257,245
0.178138,0.0921574,0.292877,246
0.177419,0.0903143,0.2915,247
0.176707,0.088508,0.290125,248
0.176,0.0867378,0.288754,249
0.175299,0.0850031,0.287386,250
0.174603,0.083303,0.286022,251
0.173913,0.0816369,0.284662,252
0.173228,0.0800042,0.283306,253
0.172549,0.0784041,0.281955,254
0.171875,0.076836,0.280609,255
0.171206,0.0752993,0.279268,256
0.170543,0.0737933,0.277933,257
0.169884,0.0723175,0.276604,258
0.169231,0.0708711,0.275281,259
0.168582,0.0694537,0.273964,260
0.167939,0.0680646,0.272653,261
0.1673,0.0667033,0.271349,262
0.166667,0.0653693,0.270052,263
0.166038,0.0640619,0.268761,264
0.165414,0.0627806,0.267478,265
0.168539,0.081525,0.266202,266
0.16791,0.0798945,0.265002,267
0.167286,0.0782966,0.263808,268
0.166667,0.0767307,0.26262,269
0.166052,0.0751961,0.261439,270
0.165441,0.0736922,0.260264,271
0.164835,0.0722183,0.259095,272
0.167883,0.090774,0.257933,273
0.167273,0.0889585,0.256839,274
0.166667,0.0871793,0.25575,275
0.166065,0.0854357,0.254666,276
0.165468,0.083727,0.253589,277
0.168459,0.102052,0.252517,278
0.167857,0.100011,0.251506,279
0.16726,0.0980112,0.250501,280
0.166667,0.096051,0.249501,281
0.166078,0.0941299,0.248505,282
0.169014,0.112247,0.247515,283
0.168421,0.110002,0.246581,284
0.167832,0.107802,0.245652,285
0.167247,0.105646,0.244727,286
0.166667,0.103533,0.243806,287
0.16609,0.101463,0.242891,288
0.165517,0.0994335,0.24198,289
0.164948,0.0974448,0.241074,290
0.164384,0.0954959,0.240173,291
0.163823,0.093586,0.239277,292
0.163265,0.0917143,0.238386,293
0.162712,0.08988,0.2375,294
0.162162,0.0880824,0.23662,295
0.164983,0.106321,0.235745,296
0.16443,0.104194,0.234916,297
0.16388,0.10211,0.234091,298
0.163333,0.100068,0.233272,299
0.162791,0.0980668,0.232456,300
0.162252,0.0961055,0.231646,301
0.161716,0.0941834,0.230841,302
0.161184,0.0922997,0.23004,303
0.160656,0.0904537,0.229244,304
0.160131,0.0886447,0.228453,305
0.162866,0.106872,0.227668,306
0.165584,0.124734,0.226921,307
0.165049,0.12224,0.226213,308
0.164516,0.119795,0.225508,309
0.163987,0.117399,0.224807,310
0.163462,0.115051,0.22411,311
0.162939,0.11275,0.223417,312
0.16242,0.110495,0.222728,313
0.161905,0.108285,0.222043,314
0.161392,0.106119,0.221362,315
0.160883,0.103997,0.220685,316
0.160377,0.101917,0.220012,317
0.159875,0.0998787,0.219344,318
0.159375,0.0978811,0.218679,319
0.158879,0.0959235,0.218019,320
0.161491,0.114005,0.217363,321
0.160991,0.111725,0.216738,322
0.160494,0.10949,0.216117,323
0.163077,0.127301,0.2155,324
0.162577,0.124755,0.214912,325
0.16208,0.12226,0.214327,326
0.161585,0.119814,0.213746,327
0.161094,0.117418,0.213168,328
0.160606,0.11507,0.212593,329
0.160121,0.112768,0.212022,330
0.162651,0.130513,0.211455,331
0.162162,0.127903,0.210914,332
0.161677,0.125345,0.210376,333
0.161194,0.122838,0.209841,334
0.160714,0.120381,0.209309,335
0.160237,0.117973,0.208781,336
0.159763,0.115614,0.208255,337
0.159292,0.113302,0.207733,338
0.158824,0.111036,0.207215,339
0.158358,0.108815,0.206699,340
0.157895,0.106639,0.206187,341
0.157434,0.104506,0.205678,342
0.156977,0.102416,0.205172,343
0.156522,0.100367,0.204669,344
0.156069,0.09836,0.20417,345
0.15562,0.0963928,0.203675,346
