state	C__sierra_leone	R0__sierra_leone	phi__sierra_leone	rho__sierra_leone
13640	151.709	1.27395	0.206336	0.433858
13641	149.783	1.29068	0.186006	0.434056
13642	156.334	1.35712	0.0900817	0.321079
13643	156.334	1.35712	0.0900817	0.321079
13644	156.334	1.35712	0.0900817	0.321079
13645	156.334	1.35712	0.0900817	0.321079
13646	109.848	1.28977	0.127039	0.560344
13647	141.447	1.32507	0.151018	0.393226
13648	141.447	1.32507	0.151018	0.393226
13649	93.6497	1.324	0.219631	0.535268
13650	93.6497	1.324	0.219631	0.535268
13651	85.0171	1.33787	0.177345	0.564433
13652	88.1593	1.33959	0.138285	0.614291
13653	81.3555	1.31133	0.171931	0.648633
13654	76.883	1.34886	0.26144	0.616398
13655	81.0281	1.3458	0.318272	0.540519
13656	133.062	1.26665	0.230209	0.455486
13657	113.924	1.32703	0.258576	0.424111
13658	91.5793	1.32649	0.289442	0.517126
13659	66.5846	1.38894	0.275473	0.721673
13660	72.0543	1.30715	0.167833	0.785206
13661	72.0543	1.30715	0.167833	0.785206
13662	74.8494	1.35106	0.169896	0.704866
13663	74.8494	1.35106	0.169896	0.704866
13664	74.8494	1.35106	0.169896	0.704866
13665	70.378	1.36355	0.167824	0.725649
13666	92.2823	1.40986	0.244267	0.511602
13667	74.3652	1.35928	0.271615	0.703516
13668	92.7838	1.35513	0.279682	0.543362
13669	87.8447	1.33334	0.187051	0.584666
13670	87.8447	1.33334	0.187051	0.584666
13671	87.8447	1.33334	0.187051	0.584666
13672	87.8447	1.33334	0.187051	0.584666
13673	87.8447	1.33334	0.187051	0.584666
13674	87.8447	1.33334	0.187051	0.584666
13675	112.019	1.3281	0.250831	0.484292
13676	121.251	1.30617	0.151269	0.491566
13677	118.242	1.31936	0.219904	0.453144
13678	105.976	1.3246	0.258773	0.494361
13679	79.5459	1.36844	0.281726	0.566506
13680	79.5459	1.36844	0.281726	0.566506
13681	79.5459	1.36844	0.281726	0.566506
13682	87.769	1.34566	0.201433	0.547089
13683	81.2993	1.33166	0.198856	0.633479
13684	81.2993	1.33166	0.198856	0.633479
13685	102.529	1.31449	0.16502	0.534723
13686	81.0359	1.31354	0.184873	0.697655
13687	101.483	1.301	0.132822	0.587981
13688	101.483	1.301	0.132822	0.587981
13689	101.905	1.27399	0.264437	0.599005
13690	132.171	1.28503	0.147055	0.44828
13691	103.812	1.34097	0.241056	0.534498
13692	109.588	1.34357	0.221752	0.516368
13693	109.022	1.31536	0.176124	0.477511
13694	116.911	1.39008	0.0976437	0.397066
13695	75.1536	1.43018	0.175953	0.586453
13696	100.037	1.31113	0.168046	0.539752
13697	65.0459	1.37192	0.22371	0.743715
13698	65.0459	1.37192	0.22371	0.743715
13699	102.755	1.38727	0.252257	0.485303
13700	84.4971	1.32708	0.187255	0.716464
13701	65.406	1.30416	0.180154	0.844924
13702	71.1503	1.3368	0.191484	0.80665
13703	71.1503	1.3368	0.191484	0.80665
13704	61.5597	1.35282	0.179434	0.803504
13705	78.1082	1.35836	0.264706	0.656467
13706	73.4381	1.40719	0.251218	0.612793
13707	98.411	1.41503	0.163507	0.467597
13708	82.1318	1.43463	0.193421	0.597656
13709	67.0198	1.39385	0.271119	0.6397
13710	100.624	1.30012	0.2336	0.531941
13711	95.8611	1.32826	0.243383	0.538649
13712	75.6906	1.34435	0.223702	0.683568
13713	101.92	1.31408	0.322784	0.665709
13714	91.9865	1.27571	0.40117	0.674327
13715	87.1664	1.42536	0.191543	0.516986
13716	77.5911	1.37484	0.109536	0.63344
13717	65.2421	1.42786	0.186688	0.643219
13718	76.2859	1.38793	0.246722	0.592135
13719	76.2859	1.38793	0.246722	0.592135
13720	80.2995	1.41839	0.20134	0.569817
13721	80.2995	1.41839	0.20134	0.569817
13722	80.2995	1.41839	0.20134	0.569817
13723	76.5627	1.39552	0.197756	0.549773
13724	111.873	1.24414	0.304345	0.613782
13725	69.448	1.34437	0.337553	0.798619
13726	65.1234	1.3616	0.32175	0.772365
13727	88.0934	1.27642	0.412935	0.606195
13728	56.968	1.33599	0.234294	0.771166
13729	63.5157	1.35869	0.242833	0.698908
13730	89.7379	1.34714	0.297047	0.521494
13731	83.3778	1.31484	0.366208	0.571194
13732	83.3778	1.31484	0.366208	0.571194
13733	96.0905	1.27393	0.312485	0.572168
